pham_vi_fit,feature_goc,string_index,category,la_nhom_invalid
train_fit,main_category,5,housewares,0
train_fit,main_category,6,watches_gifts,0
train_fit,main_category,7,telephony,0
train_fit,main_category,8,auto,0
train_fit,main_category,9,toys,0
train_fit,main_category,10,cool_stuff,0
train_fit,main_category,11,garden_tools,0
train_fit,main_category,12,perfumery,0
train_fit,main_category,13,baby,0
train_fit,main_category,14,electronics,0
train_fit,main_category,15,stationery,0
train_fit,main_category,16,fashion_bags_accessories,0
train_fit,main_category,17,pet_shop,0
train_fit,main_category,18,khong_xac_dinh,0
train_fit,main_category,19,office_furniture,0
train_fit,main_category,20,luggage_accessories,0
train_fit,main_category,21,consoles_games,0
train_fit,main_category,22,construction_tools_construction,0
train_fit,main_category,23,home_appliances,0
train_fit,main_category,24,musical_instruments,0
train_fit,main_category,25,small_appliances,0
train_fit,main_category,26,books_general_interest,0
train_fit,main_category,27,home_construction,0
train_fit,main_category,28,food,0
train_fit,main_category,29,furniture_living_room,0
train_fit,main_category,30,audio,0
train_fit,main_category,31,home_confort,0
train_fit,main_category,32,market_place,0
train_fit,main_category,33,drinks,0
train_fit,main_category,34,books_technical,0
train_fit,main_category,35,construction_tools_lights,0
train_fit,main_category,36,air_conditioning,0
train_fit,main_category,37,food_drink,0
train_fit,main_category,38,home_appliances_2,0
train_fit,main_category,39,fashion_shoes,0
train_fit,main_category,40,kitchen_dining_laundry_garden_furniture,0
train_fit,main_category,41,industry_commerce_and_business,0
train_fit,main_category,42,fixed_telephony,0
train_fit,main_category,43,costruction_tools_garden,0
train_fit,main_category,44,art,0
train_fit,main_category,45,computers,0
train_fit,main_category,46,agro_industry_and_commerce,0
train_fit,main_category,47,construction_tools_safety,0
train_fit,main_category,48,fashion_underwear_beach,0
train_fit,main_category,49,signaling_and_security,0
train_fit,main_category,50,christmas_supplies,0
train_fit,main_category,51,fashion_male_clothing,0
train_fit,main_category,52,costruction_tools_tools,0
train_fit,main_category,53,furniture_bedroom,0
train_fit,main_category,54,cine_photo,0
train_fit,main_category,55,small_appliances_home_oven_and_coffee,0
train_fit,main_category,56,tablets_printing_image,0
train_fit,main_category,57,books_imported,0
train_fit,main_category,58,dvds_blu_ray,0
train_fit,main_category,59,music,0
train_fit,main_category,60,party_supplies,0
train_fit,main_category,61,furniture_mattress_and_upholstery,0
train_fit,main_category,62,fashio_female_clothing,0
train_fit,main_category,63,flowers,0
train_fit,main_category,64,home_comfort_2,0
train_fit,main_category,65,fashion_sport,0
train_fit,main_category,66,arts_and_craftmanship,0
train_fit,main_category,67,diapers_and_hygiene,0
train_fit,main_category,68,la_cuisine,0
train_fit,main_category,69,portateis_cozinha_e_preparadores_de_alimentos,0
train_fit,main_category,70,cds_dvds_musicals,0
train_fit,main_category,71,fashion_childrens_clothes,0
train_fit,main_category,72,pc_gamer,0
train_fit,main_category,73,security_and_services,0
train_fit,main_category,74,__unknown_or_unseen__,1
train_full,customer_state,0,SP,0
train_full,customer_state,1,RJ,0
train_full,customer_state,2,MG,0
train_full,customer_state,3,RS,0
train_full,customer_state,4,PR,0
train_full,customer_state,5,SC,0
train_full,customer_state,6,BA,0
train_full,customer_state,7,DF,0
train_full,customer_state,8,ES,0
train_full,customer_state,9,GO,0
train_full,customer_state,10,PE,0
train_full,customer_state,11,CE,0
train_full,customer_state,12,PA,0
train_full,customer_state,13,MT,0
train_full,customer_state,14,MA,0
train_full,customer_state,15,MS,0
train_full,customer_state,16,PB,0
train_full,customer_state,17,PI,0
train_full,customer_state,18,RN,0
train_full,customer_state,19,AL,0
train_full,customer_state,20,SE,0
train_full,customer_state,21,TO,0
train_full,customer_state,22,RO,0
train_full,customer_state,23,AM,0
train_full,customer_state,24,AC,0
train_full,customer_state,25,AP,0
train_full,customer_state,26,RR,0
train_full,customer_state,27,__unknown_or_unseen__,1
train_full,main_seller_state,0,SP,0
train_full,main_seller_state,1,MG,0
train_full,main_seller_state,2,PR,0
train_full,main_seller_state,3,RJ,0
train_full,main_seller_state,4,SC,0
train_full,main_seller_state,5,RS,0
train_full,main_seller_state,6,DF,0
train_full,main_seller_state,7,BA,0
train_full,main_seller_state,8,GO,0
train_full,main_seller_state,9,PE,0
train_full,main_seller_state,10,MA,0
train_full,main_seller_state,11,ES,0
train_full,main_seller_state,12,MT,0
train_full,main_seller_state,13,CE,0
train_full,main_seller_state,14,MS,0
train_full,main_seller_state,15,RN,0
train_full,main_seller_state,16,PB,0
train_full,main_seller_state,17,RO,0
train_full,main_seller_state,18,PI,0
train_full,main_seller_state,19,PA,0
train_full,main_seller_state,20,SE,0
train_full,main_seller_state,21,AM,0
train_full,main_seller_state,22,__unknown_or_unseen__,1
train_full,main_category,0,bed_bath_table,0
train_full,main_category,1,health_beauty,0
train_full,main_category,2,sports_leisure,0
train_full,main_category,3,computers_accessories,0
train_full,main_category,4,furniture_decor,0
train_full,main_category,5,housewares,0
train_full,main_category,6,watches_gifts,0
train_full,main_category,7,telephony,0
train_full,main_category,8,auto,0
train_full,main_category,9,toys,0
train_full,main_category,10,cool_stuff,0
train_full,main_category,11,garden_tools,0
train_full,main_category,12,perfumery,0
train_full,main_category,13,baby,0
train_full,main_category,14,electronics,0
train_full,main_category,15,stationery,0
train_full,main_category,16,fashion_bags_accessories,0
train_full,main_category,17,pet_shop,0
train_full,main_category,18,khong_xac_dinh,0
train_full,main_category,19,office_furniture,0
train_full,main_category,20,luggage_accessories,0
train_full,main_category,21,consoles_games,0
train_full,main_category,22,home_appliances,0
train_full,main_category,23,construction_tools_construction,0
train_full,main_category,24,musical_instruments,0
train_full,main_category,25,small_appliances,0
train_full,main_category,26,books_general_interest,0
train_full,main_category,27,home_construction,0
train_full,main_category,28,food,0
train_full,main_category,29,furniture_living_room,0
train_full,main_category,30,home_confort,0
train_full,main_category,31,audio,0
train_full,main_category,32,drinks,0
train_full,main_category,33,market_place,0
train_full,main_category,34,books_technical,0
train_full,main_category,35,air_conditioning,0
train_full,main_category,36,kitchen_dining_laundry_garden_furniture,0
train_full,main_category,37,construction_tools_lights,0
train_full,main_category,38,fashion_shoes,0
train_full,main_category,39,industry_commerce_and_business,0
train_full,main_category,40,food_drink,0
train_full,main_category,41,home_appliances_2,0
train_full,main_category,42,fixed_telephony,0
train_full,main_category,43,costruction_tools_garden,0
train_full,main_category,44,art,0
train_full,main_category,45,computers,0
train_full,main_category,46,agro_industry_and_commerce,0
train_full,main_category,47,construction_tools_safety,0
train_full,main_category,48,signaling_and_security,0
train_full,main_category,49,fashion_underwear_beach,0
train_full,main_category,50,christmas_supplies,0
train_full,main_category,51,fashion_male_clothing,0
train_full,main_category,52,costruction_tools_tools,0
train_full,main_category,53,furniture_bedroom,0
train_full,main_category,54,tablets_printing_image,0
train_full,main_category,55,cine_photo,0
train_full,main_category,56,small_appliances_home_oven_and_coffee,0
train_full,main_category,57,dvds_blu_ray,0
train_full,main_category,58,books_imported,0
train_full,main_category,59,party_supplies,0
train_full,main_category,60,furniture_mattress_and_upholstery,0
train_full,main_category,61,music,0
train_full,main_category,62,fashio_female_clothing,0
train_full,main_category,63,flowers,0
train_full,main_category,64,arts_and_craftmanship,0
train_full,main_category,65,fashion_sport,0
train_full,main_category,66,home_comfort_2,0
train_full,main_category,67,diapers_and_hygiene,0
train_full,main_category,68,la_cuisine,0
train_full,main_category,69,portateis_cozinha_e_preparadores_de_alimentos,0
train_full,main_category,70,cds_dvds_musicals,0
train_full,main_category,71,fashion_childrens_clothes,0
train_full,main_category,72,pc_gamer,0
train_full,main_category,73,security_and_services,0
train_full,main_category,74,__unknown_or_unseen__,1
