kiem_tra,trang_thai,chi_tiet
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.07673735725938009, 0.06872942725477288, 0.997134670487106, 0.009244992295839754, 0.9907550077041603, 0.1285951838393792, 0.6958512993387037, 0.9911908646003262, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.12790129489372098, F1 trực tiếp=0.12790129489372098"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.06831973898858075, 0.06831973898858075, 1.0, 0.0, 1.0, 0.12790129489372098, 0.6845017608457954, 1.0, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.132262996941896, F1 trực tiếp=0.13226299694189603"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.11125611745513866, 0.07085807904976449, 0.9914040114613181, 0.04671522622215997, 0.95328477377784, 0.132262996941896, 0.6958512993387037, 0.9558890701468189, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.12790129489372098, F1 trực tiếp=0.12790129489372098"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.06831973898858075, 0.06831973898858075, 1.0, 0.0, 1.0, 0.12790129489372098, 0.6845017608457954, 1.0, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.13956394945146508, F1 trực tiếp=0.13956394945146508"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.19138662316476346, 0.0752527143391988, 0.9598853868194842, 0.1350329177755988, 0.8649670822244012, 0.13956394945146508, 0.6958512993387037, 0.8714518760195759, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.12790129489372098, F1 trực tiếp=0.12790129489372098"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.06831973898858075, 0.06831973898858075, 1.0, 0.0, 1.0, 0.12790129489372098, 0.6845017608457954, 1.0, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.15223440825012277, F1 trực tiếp=0.15223440825012277"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.3241109298531811, 0.08325127562438457, 0.8882521489971347, 0.2827426810477658, 0.7172573189522342, 0.15223440825012277, 0.6958512993387037, 0.7289396411092985, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.12790129489372098, F1 trực tiếp=0.12790129489372098"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.06831973898858075, 0.06831973898858075, 1.0, 0.0, 1.0, 0.12790129489372098, 0.6845017608457954, 1.0, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.16844201095072175, F1 trực tiếp=0.16844201095072175"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.45494290375203916, 0.09402089353189598, 0.8080229226361032, 0.4290516879114722, 0.5709483120885278, 0.16844201095072175, 0.6958512993387037, 0.5871451876019576, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.12860038076521527, F1 trực tiếp=0.12860038076521527"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.07412724306688417, 0.06871882383827776, 1.0, 0.006233366017649531, 0.9937666339823504, 0.12860038076521527, 0.6845017608457954, 0.9941924959216966, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.18714321171506576, F1 trực tiếp=0.18714321171506576"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.5725938009787929, 0.10754528597917558, 0.720152817574021, 0.5617733576131111, 0.4382266423868889, 0.18714321171506576, 0.6958512993387037, 0.45748776508972266, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.1563763817740631, F1 trực tiếp=0.1563763817740631"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.38747145187601956, 0.08630952380952381, 0.830945558739255, 0.35495167390390814, 0.6450483260960919, 0.1563763817740631, 0.6845017608457954, 0.6577487765089722, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.20355361596009977, F1 trực tiếp=0.20355361596009974"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.666557911908646, 0.12162413857329112, 0.623686723973257, 0.6697016388849979, 0.3302983611150021, 0.20355361596009977, 0.6958512993387037, 0.3503425774877651, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.19780219780219777, F1 trực tiếp=0.19780219780219779"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.666557911908646, 0.11835431147848957, 0.6017191977077364, 0.6713125087547276, 0.32868749124527247, 0.19780219780219777, 0.6845017608457954, 0.34734094616639477, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.21117061973986226, F1 trực tiếp=0.21117061973986229"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.7308972267536705, 0.13202583114087538, 0.5272206303724928, 0.7458327496848298, 0.2541672503151702, 0.21117061973986226, 0.6958512993387037, 0.27282218597063623, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22852799594628828, F1 trực tiếp=0.22852799594628831"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.801305057096248, 0.15551724137931033, 0.43075453677172876, 0.8284773777840033, 0.17152262221599665, 0.22852799594628828, 0.6845017608457954, 0.18923327895595432, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22069910897875256, F1 trực tiếp=0.22069910897875258"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.7774225122349103, 0.14504504504504503, 0.46131805157593125, 0.800602325255638, 0.19939767474436196, 0.22069910897875256, 0.6958512993387037, 0.2172920065252855, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.24279069767441863, F1 trực tiếp=0.2427906976744186"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.893768352365416, 0.23662737987307345, 0.2492836676217765, 0.9410281552038101, 0.05897184479618994, 0.24279069767441863, 0.6845017608457954, 0.07197389885807504, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22477923468022479, F1 trực tiếp=0.22477923468022479"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.8109624796084829, 0.15613382899628253, 0.40114613180515757, 0.8410141476397255, 0.15898585236027454, 0.2247792346802248, 0.6958512993387037, 0.17553017944535074, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.16979819067501739, F1 trực tiếp=0.16979819067501739"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9221533442088091, 0.3128205128205128, 0.11652340019102196, 0.9812298641266284, 0.018770135873371622, 0.1697981906750174, 0.6845017608457954, 0.025448613376835235, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22795031055900619, F1 trực tiếp=0.22795031055900622"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.8377814029363785, 0.1688909341923608, 0.35052531041069723, 0.8735116963160107, 0.12648830368398936, 0.2279503105590062, 0.6958512993387037, 0.14179445350734093, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.05272407732864675, F1 trực tiếp=0.05272407732864675"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9296574225122349, 0.32967032967032966, 0.02865329512893983, 0.9957276929541953, 0.0042723070458047345, 0.05272407732864675, 0.6845017608457954, 0.005938009787928222, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22728892055575345, F1 trực tiếp=0.22728892055575348"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.8584665579119086, 0.18125, 0.3046800382043935, 0.899075500770416, 0.10092449922958398, 0.22728892055575345, 0.6958512993387037, 0.11484502446982056, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.022201665124884366, F1 trực tiếp=0.022201665124884366"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9310277324632953, 0.35294117647058826, 0.011461318051575931, 0.9984591679506933, 0.0015408320493066256, 0.022201665124884366, 0.6845017608457954, 0.0022185970636215335, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.2271062271062271, F1 trực tiếp=0.2271062271062271"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.8760848287112561, 0.19787234042553192, 0.2664756446991404, 0.9207872251015549, 0.07921277489844517, 0.2271062271062271, 0.6958512993387037, 0.09200652528548124, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.018726591760299626, F1 trực tiếp=0.018726591760299626"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316150081566068, 0.47619047619047616, 0.009551098376313277, 0.9992295839753467, 0.0007704160246533128, 0.018726591760299626, 0.6845017608457954, 0.0013703099510603588, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.21801385681293303, F1 trực tiếp=0.21801385681293303"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.8895269168026101, 0.2110912343470483, 0.22540592168099333, 0.9382266423868889, 0.06177335761311108, 0.21801385681293303, 0.6958512993387037, 0.07295269168026101, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.0075685903500473037, F1 trực tiếp=0.0075685903500473037"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9315497553017944, 0.4, 0.0038204393505253103, 0.9995797730774618, 0.00042022692253817064, 0.007568590350047304, 0.6845017608457954, 0.0006525285481239804, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.2028227914270779, F1 trực tiếp=0.20282279142707788"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9004893964110929, 0.22401847575057737, 0.18529130850047756, 0.9529345846757249, 0.047065415324275106, 0.2028227914270779, 0.6958512993387037, 0.056508972267536706, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0, F1 trực tiếp=0"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9313539967373573, 0.0, 0.0, 0.9996498108978848, 0.0003501891021151422, 0.0, 0.6845017608457954, 0.0003262642740619902, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.18826263800116211, F1 trực tiếp=0.18826263800116211"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.90884176182708, 0.2403560830860534, 0.15472779369627507, 0.9641406359434095, 0.035859364056590556, 0.1882626380011621, 0.6958512993387037, 0.04398042414355628, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0, F1 trực tiếp=0"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316150081566068, 0.0, 0.0, 0.999929962179577, 7.003782042302843e-05, 0.0, 0.6845017608457954, 6.525285481239805e-05, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.17182564750473783, F1 trực tiếp=0.17182564750473783"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9144535073409462, 0.2537313432835821, 0.12989493791786055, 0.9719848718307886, 0.028015128169211374, 0.17182564750473783, 0.6958512993387037, 0.03497553017944535, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0, F1 trực tiếp=0"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316150081566068, 0.0, 0.0, 0.999929962179577, 7.003782042302843e-05, 0.0, 0.6845017608457954, 6.525285481239805e-05, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.15003441156228492, F1 trực tiếp=0.15003441156228492"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9194127243066884, 0.2684729064039409, 0.1041069723018147, 0.9791987673343605, 0.020801232665639446, 0.15003441156228492, 0.6958512993387037, 0.026492659053833606, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0, F1 trực tiếp=0"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316150081566068, 0.0, 0.0, 0.999929962179577, 7.003782042302843e-05, 0.0, 0.6845017608457954, 6.525285481239805e-05, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.11521418020679468, F1 trực tiếp=0.11521418020679468"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9218270799347471, 0.254071661237785, 0.07449856733524356, 0.9839613391231264, 0.01603866087687351, 0.11521418020679468, 0.6958512993387037, 0.0200326264274062, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0, F1 trực tiếp=0"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316150081566068, 0.0, 0.0, 0.999929962179577, 7.003782042302843e-05, 0.0, 0.6845017608457954, 6.525285481239805e-05, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.090695856137607514, F1 trực tiếp=0.0906958561376075"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9241109298531811, 0.25, 0.055396370582617004, 0.9878134192463931, 0.012186580753606948, 0.09069585613760751, 0.6958512993387037, 0.015138662316476346, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0, F1 trực tiếp=0"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316150081566068, 0.0, 0.0, 0.999929962179577, 7.003782042302843e-05, 0.0, 0.6845017608457954, 6.525285481239805e-05, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.066938775510204093, F1 trực tiếp=0.066938775510204079"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9254159869494291, 0.2303370786516854, 0.039159503342884434, 0.9904048186020451, 0.009595181397954896, 0.0669387755102041, 0.6958512993387037, 0.011615008156606852, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0, F1 trực tiếp=0"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316150081566068, 0.0, 0.0, 0.999929962179577, 7.003782042302843e-05, 0.0, 0.6845017608457954, 6.525285481239805e-05, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.052276559865092755, F1 trực tiếp=0.052276559865092748"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9266557911908646, 0.22302158273381295, 0.029608404966571154, 0.992435915394313, 0.007564084605687071, 0.052276559865092755, 0.6958512993387037, 0.009070146818923328, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0, F1 trực tiếp=0"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316150081566068, 0.0, 0.0, 0.999929962179577, 7.003782042302843e-05, 0.0, 0.6845017608457954, 6.525285481239805e-05, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.041594454072790291, F1 trực tiếp=0.041594454072790298"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9278303425774878, 0.22429906542056074, 0.022922636103151862, 0.9941868609048886, 0.00581313909511136, 0.04159445407279029, 0.6958512993387037, 0.00698205546492659, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0, F1 trực tiếp=0"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316150081566068, 0.0, 0.0, 0.999929962179577, 7.003782042302843e-05, 0.0, 0.6845017608457954, 6.525285481239805e-05, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.031718061674008813, F1 trực tiếp=0.031718061674008813"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9282871125611746, 0.20454545454545456, 0.017191977077363897, 0.995097352570388, 0.0049026474296119905, 0.03171806167400881, 0.6958512993387037, 0.005742251223491028, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0, F1 trực tiếp=0"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316150081566068, 0.0, 0.0, 0.999929962179577, 7.003782042302843e-05, 0.0, 0.6845017608457954, 6.525285481239805e-05, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.021582733812949638, F1 trực tiếp=0.021582733812949641"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9290048939641109, 0.18461538461538463, 0.011461318051575931, 0.9962879955175795, 0.0037120044824205073, 0.021582733812949638, 0.6958512993387037, 0.004241435562805873, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0, F1 trực tiếp=0"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316802610114192, 0.0, 0.0, 1.0, 0.0, 0.0, 0.6845017608457954, 0.0, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.019981834695731154, F1 trực tiếp=0.019981834695731154"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9295921696574225, 0.2037037037037037, 0.010506208213944603, 0.9969883737218098, 0.003011626278190223, 0.019981834695731154, 0.6958512993387037, 0.003523654159869494, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0, F1 trực tiếp=0"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316802610114192, 0.0, 0.0, 1.0, 0.0, 0.0, 0.6845017608457954, 0.0, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.014719411223551058, F1 trực tiếp=0.014719411223551058"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9301141924959216, 0.2, 0.007640878701050621, 0.997758789746463, 0.0022412102535369098, 0.014719411223551058, 0.6958512993387037, 0.0026101141924959217, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0, F1 trực tiếp=0"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316802610114192, 0.0, 0.0, 1.0, 0.0, 0.0, 0.6845017608457954, 0.0, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.0092592592592592587, F1 trực tiếp=0.0092592592592592587"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.930179445350734, 0.15151515151515152, 0.004775549188156638, 0.9980389410281552, 0.0019610589718447964, 0.009259259259259259, 0.6958512993387037, 0.0021533442088091355, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0, F1 trực tiếp=0"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316802610114192, 0.0, 0.0, 1.0, 0.0, 0.0, 0.6845017608457954, 0.0, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.007462686567164179, F1 trực tiếp=0.007462686567164179"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9305709624796085, 0.16, 0.0038204393505253103, 0.9985292057711164, 0.001470794228883597, 0.007462686567164179, 0.6958512993387037, 0.0016313213703099511, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0, F1 trực tiếp=0"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316802610114192, 0.0, 0.0, 1.0, 0.0, 0.0, 0.6845017608457954, 0.0, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.0074836295603367634, F1 trực tiếp=0.0074836295603367634"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9307667210440457, 0.18181818181818182, 0.0038204393505253103, 0.9987393192323855, 0.0012606807676145118, 0.007483629560336763, 0.6958512993387037, 0.001435562805872757, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0, F1 trực tiếp=0"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316802610114192, 0.0, 0.0, 1.0, 0.0, 0.0, 0.6845017608457954, 0.0, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.0056338028169014088, F1 trực tiếp=0.0056338028169014088"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9308972267536705, 0.16666666666666666, 0.0028653295128939827, 0.9989494326936545, 0.0010505673063454265, 0.005633802816901409, 0.6958512993387037, 0.0011745513866231647, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0, F1 trực tiếp=0"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316802610114192, 0.0, 0.0, 1.0, 0.0, 0.0, 0.6845017608457954, 0.0, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.0056497175141242929, F1 trực tiếp=0.0056497175141242938"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9310929853181077, 0.2, 0.0028653295128939827, 0.9991595461549236, 0.0008404538450763413, 0.005649717514124293, 0.6958512993387037, 0.0009787928221859706, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0, F1 trực tiếp=0"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316802610114192, 0.0, 0.0, 1.0, 0.0, 0.0, 0.6845017608457954, 0.0, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.0056657223796033997, F1 trực tiếp=0.0056657223796033997"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9312887438825449, 0.25, 0.0028653295128939827, 0.9993696596161927, 0.0006303403838072559, 0.0056657223796034, 0.6958512993387037, 0.0007830342577487765, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0, F1 trực tiếp=0"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316802610114192, 0.0, 0.0, 1.0, 0.0, 0.0, 0.6845017608457954, 0.0, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.0037950664136622387, F1 trực tiếp=0.0037950664136622392"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9314845024469821, 0.2857142857142857, 0.0019102196752626551, 0.9996498108978848, 0.0003501891021151422, 0.0037950664136622387, 0.6958512993387037, 0.0004567699836867863, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0, F1 trực tiếp=0"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316802610114192, 0.0, 0.0, 1.0, 0.0, 0.0, 0.6845017608457954, 0.0, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.0038022813688212923, F1 trực tiếp=0.0038022813688212928"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316150081566068, 0.4, 0.0019102196752626551, 0.9997898865387309, 0.00021011346126908532, 0.0038022813688212923, 0.6958512993387037, 0.0003262642740619902, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0, F1 trực tiếp=0"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316802610114192, 0.0, 0.0, 1.0, 0.0, 0.0, 0.6845017608457954, 0.0, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.0019029495718363464, F1 trực tiếp=0.0019029495718363464"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9315497553017944, 0.25, 0.0009551098376313276, 0.9997898865387309, 0.00021011346126908532, 0.0019029495718363464, 0.6958512993387037, 0.0002610114192495922, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0, F1 trực tiếp=0"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316802610114192, 0.0, 0.0, 1.0, 0.0, 0.0, 0.6845017608457954, 0.0, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.0019047619047619048, F1 trực tiếp=0.0019047619047619048"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316150081566068, 0.3333333333333333, 0.0009551098376313276, 0.9998599243591539, 0.00014007564084605686, 0.0019047619047619048, 0.6958512993387037, 0.00019575856443719412, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0, F1 trực tiếp=0"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316802610114192, 0.0, 0.0, 1.0, 0.0, 0.0, 0.6845017608457954, 0.0, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.0019047619047619048, F1 trực tiếp=0.0019047619047619048"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316150081566068, 0.3333333333333333, 0.0009551098376313276, 0.9998599243591539, 0.00014007564084605686, 0.0019047619047619048, 0.6958512993387037, 0.00019575856443719412, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0, F1 trực tiếp=0"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316802610114192, 0.0, 0.0, 1.0, 0.0, 0.0, 0.6845017608457954, 0.0, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.0019047619047619048, F1 trực tiếp=0.0019047619047619048"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316150081566068, 0.3333333333333333, 0.0009551098376313276, 0.9998599243591539, 0.00014007564084605686, 0.0019047619047619048, 0.6958512993387037, 0.00019575856443719412, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0, F1 trực tiếp=0"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316802610114192, 0.0, 0.0, 1.0, 0.0, 0.0, 0.6845017608457954, 0.0, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.0019047619047619048, F1 trực tiếp=0.0019047619047619048"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316150081566068, 0.3333333333333333, 0.0009551098376313276, 0.9998599243591539, 0.00014007564084605686, 0.0019047619047619048, 0.6958512993387037, 0.00019575856443719412, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0, F1 trực tiếp=0"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316802610114192, 0.0, 0.0, 1.0, 0.0, 0.0, 0.6845017608457954, 0.0, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.0019047619047619048, F1 trực tiếp=0.0019047619047619048"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316150081566068, 0.3333333333333333, 0.0009551098376313276, 0.9998599243591539, 0.00014007564084605686, 0.0019047619047619048, 0.6958512993387037, 0.00019575856443719412, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0, F1 trực tiếp=0"
